Data,Total Daily Vaccination,Parcial Daily Vaccination,Daily Innoculation,Total Vaccination(Europe),Daily Booster Shot,Booster Shot(Europe)
2020-12,0.0,4963.0,4963.0,,,
2020-12,0.0,2791.0,2791.0,,,
2020-12,0.0,12614.0,12614.0,,,
2020-12,0.0,10175.0,10175.0,,,
2020-12,0.0,2206.0,2206.0,,,
2021-01,0.0,0.0,0.0,,,
2021-01,0.0,1.0,1.0,,,
2021-01,0.0,0.0,0.0,,,
2021-01,0.0,920.0,920.0,,,
2021-01,0.0,12763.0,12763.0,,,
2021-01,0.0,15021.0,15021.0,,,
2021-01,0.0,10297.0,10297.0,,,
2021-01,0.0,2503.0,2503.0,,,
2021-01,0.0,98.0,98.0,,,
2021-01,0.0,40.0,40.0,,,
2021-01,138.0,10559.0,10697.0,,,
2021-01,0.0,10882.0,10882.0,,,
2021-01,0.0,13799.0,13799.0,,,
2021-01,0.0,11150.0,11150.0,,,
2021-01,0.0,7486.0,7486.0,,,
2021-01,0.0,1535.0,1535.0,,,
2021-01,1161.0,-1154.0,7.0,,,
2021-01,115.0,5259.0,5374.0,,,
2021-01,7618.0,8494.0,16112.0,,,
2021-01,9175.0,10583.0,19758.0,,,
2021-01,4974.0,23156.0,28130.0,,,
2021-01,2404.0,21451.0,23855.0,,,
2021-01,4040.0,6714.0,10754.0,,,
2021-01,517.0,3141.0,3658.0,,,
2021-01,2924.0,690.0,3614.0,,,
2021-02,12514.0,6853.0,19367.0,,,
2021-02,1943.0,-333.0,1610.0,,,
2021-02,5157.0,-1488.0,3669.0,,,
2021-02,9123.0,-4980.0,4143.0,,,
2021-02,9941.0,-4715.0,5226.0,,,
2021-02,8870.0,-3030.0,5840.0,,,
2021-02,740.0,336.0,1076.0,,,
2021-02,1910.0,801.0,2711.0,,,
2021-02,1442.0,935.0,2377.0,,,
2021-02,10504.0,-5915.0,4589.0,,,
2021-02,16519.0,-12101.0,4418.0,,,
2021-02,24526.0,-16953.0,7573.0,,,
2021-02,27090.0,-17128.0,9962.0,,,
2021-02,9836.0,-1694.0,8142.0,,,
2021-02,10036.0,-5986.0,4050.0,,,
2021-02,5586.0,-407.0,5179.0,,,
2021-02,6032.0,4481.0,10513.0,,,
2021-02,7953.0,6465.0,14418.0,,,
2021-02,12704.0,14526.0,27230.0,,,
2021-02,12954.0,11867.0,24821.0,,,
2021-02,3504.0,12034.0,15538.0,,,
2021-02,2345.0,3864.0,6209.0,,,
2021-02,1724.0,10592.0,12316.0,,,
2021-02,2221.0,21978.0,24199.0,,,
2021-02,3489.0,24622.0,28111.0,,,
2021-02,3092.0,38504.0,41596.0,,,
2021-02,5456.0,29970.0,35426.0,,,
2021-02,1285.0,21465.0,22750.0,,,
2021-03,4167.0,8896.0,13063.0,,,
2021-03,1350.0,13458.0,14808.0,,,
2021-03,1665.0,12392.0,14057.0,,,
2021-03,5033.0,18236.0,23269.0,,,
2021-03,5809.0,31432.0,37241.0,,,
2021-03,8607.0,22635.0,31242.0,,,
2021-03,4153.0,8851.0,13004.0,,,
2021-03,7608.0,-1462.0,6146.0,,,
2021-03,2178.0,6635.0,8813.0,,,
2021-03,1906.0,7182.0,9088.0,,,
2021-03,8998.0,5682.0,14680.0,,,
2021-03,14303.0,6516.0,20819.0,,,
2021-03,13472.0,6746.0,20218.0,,,
2021-03,5365.0,5568.0,10933.0,,,
2021-03,6380.0,5971.0,12351.0,,,
2021-03,3015.0,18941.0,21956.0,,,
2021-03,5947.0,-4389.0,1558.0,,,
2021-03,21897.0,-9349.0,12548.0,,,
2021-03,33353.0,-21433.0,11920.0,,,
2021-03,27975.0,-11093.0,16882.0,,,
2021-03,12910.0,-2755.0,10155.0,,,
2021-03,5675.0,2090.0,7765.0,,,
2021-03,7632.0,2462.0,10094.0,,,
2021-03,2072.0,18165.0,20237.0,,,
2021-03,3607.0,35279.0,38886.0,,,
2021-03,4504.0,62424.0,66928.0,,,
2021-03,2456.0,25796.0,28252.0,,,
2021-03,1518.0,60379.0,61897.0,,,
2021-03,1070.0,31013.0,32083.0,,,
2021-03,2628.0,18291.0,20919.0,,,
2021-03,3596.0,23755.0,27351.0,,,
2021-04,9707.0,4262.0,13969.0,,,
2021-04,42048.0,-815.0,41233.0,,,
2021-04,16756.0,1922.0,18678.0,,,
2021-04,7123.0,3688.0,10811.0,,,
2021-04,3727.0,2090.0,5817.0,,,
2021-04,5920.0,20805.0,26725.0,,,
2021-04,3082.0,33554.0,36636.0,,,
2021-04,10439.0,40970.0,51409.0,,,
2021-04,15006.0,40480.0,55486.0,,,
2021-04,12585.0,44389.0,56974.0,,,
2021-04,2106.0,8699.0,10805.0,,,
2021-04,5433.0,14012.0,19445.0,,,
2021-04,2162.0,27660.0,29822.0,,,
2021-04,1780.0,40667.0,42447.0,,,
2021-04,10893.0,41767.0,52660.0,,,
2021-04,10131.0,49382.0,59513.0,,,
2021-04,19955.0,27885.0,47840.0,,,
2021-04,4930.0,108958.0,113888.0,,,
2021-04,5740.0,74539.0,80279.0,,,
2021-04,11167.0,10030.0,21197.0,,,
2021-04,8976.0,20261.0,29237.0,,,
2021-04,23887.0,6095.0,29982.0,,,
2021-04,39331.0,-10854.0,28477.0,,,
2021-04,37935.0,1686.0,39621.0,,,
2021-04,12282.0,19049.0,31331.0,,,
2021-04,7244.0,24652.0,31896.0,,,
2021-04,8617.0,31665.0,40282.0,,,
2021-04,10200.0,28981.0,39181.0,,,
2021-04,18858.0,35055.0,53913.0,,,
2021-04,18231.0,44345.0,62576.0,,,
2021-05,17028.0,52247.0,69275.0,,,
2021-05,9444.0,32616.0,42060.0,,,
2021-05,9063.0,31790.0,40853.0,,,
2021-05,13616.0,37828.0,51444.0,,,
2021-05,16909.0,43289.0,60198.0,,,
2021-05,42372.0,6185.0,48557.0,,,
2021-05,51297.0,-1570.0,49727.0,,,
2021-05,56818.0,-9386.0,47432.0,,,
2021-05,13888.0,54709.0,68597.0,,,
2021-05,26779.0,31810.0,58589.0,,,
2021-05,19685.0,39176.0,58861.0,,,
2021-05,16067.0,37177.0,53244.0,,,
2021-05,15117.0,38165.0,53282.0,,,
2021-05,19597.0,33303.0,52900.0,,,
2021-05,56192.0,-32543.0,23649.0,,,
2021-05,123828.0,-117806.0,6022.0,,,
2021-05,57889.0,2307.0,60196.0,,,
2021-05,20695.0,27080.0,47775.0,,,
2021-05,23561.0,32374.0,55935.0,,,
2021-05,26549.0,26198.0,52747.0,,,
2021-05,28244.0,26163.0,54407.0,,,
2021-05,36114.0,13226.0,49340.0,,,
2021-05,34537.0,1992.0,36529.0,,,
2021-05,62620.0,-28728.0,33892.0,,,
2021-05,24424.0,19098.0,43522.0,,,
2021-05,19322.0,30158.0,49480.0,,,
2021-05,43451.0,942.0,44393.0,,,
2021-05,57160.0,-15301.0,41859.0,,,
2021-05,64376.0,-24994.0,39382.0,,,
2021-05,39137.0,-5025.0,34112.0,,,
2021-05,104805.0,-74991.0,29814.0,,,
2021-06,38065.0,-6010.0,32055.0,,,
2021-06,47116.0,-5476.0,41640.0,,,
2021-06,36291.0,16899.0,53190.0,,,
2021-06,29785.0,12074.0,41859.0,,,
2021-06,41626.0,7421.0,49047.0,,,
