Data,80+,70-79,60-69,50-59,40-49,30-39,18-29
30-11-2021,4787.0,20271.0,,,,,
01-12-2021,4926.0,19130.0,,,,,
02-12-2021,5296.0,33662.0,,,,,
03-12-2021,4891.0,23113.0,,,,,
04-12-2021,3863.0,19431.0,,,,,
05-12-2021,3115.0,26452.0,,,,,
06-12-2021,2314.0,15415.0,,,,,
07-12-2021,4126.0,32464.0,,,,,
08-12-2021,4093.0,31123.0,,,,,
09-12-2021,2684.0,14991.0,,,,,
10-12-2021,4081.0,34159.0,,,,,
11-12-2021,3002.0,29307.0,,,,,
12-12-2021,2811.0,31307.0,,,,,
13-12-2021,2369.0,10347.0,,,,,
14-12-2021,3440.0,24309.0,,,,,
15-12-2021,3120.0,20729.0,,,,,
16-12-2021,3079.0,13305.0,,,,,
17-12-2021,3676.0,12239.0,,,,,
18-12-2021,2719.0,14665.0,,,,,
19-12-2021,105.0,149.0,,,,,
20-12-2021,48.0,55.0,104.0,73.0,,,
21-12-2021,0.0,0.0,0.0,0.0,,,
22-12-2021,4406.0,13793.0,71052.0,26621.0,,,
23-12-2021,1826.0,5469.0,38638.0,9433.0,,,
24-12-2021,1236.0,3070.0,13180.0,5075.0,,,
25-12-2021,0.0,0.0,0.0,0.0,,,
26-12-2021,0.0,0.0,0.0,0.0,,,
27-12-2021,0.0,0.0,0.0,0.0,,,
28-12-2021,1384.0,5931.0,44256.0,13068.0,,,
29-12-2021,1589.0,4378.0,28040.0,42428.0,,,
30-12-2021,1537.0,4661.0,25134.0,49720.0,,,
31-12-2021,1606.0,5365.0,25292.0,15276.0,,,
01-01-2022,0.0,0.0,0.0,0.0,,,
02-01-2022,0.0,0.0,0.0,0.0,,,
03-01-2022,824.0,5246.0,49065.0,23242.0,,,
04-01-2022,1000.0,4127.0,28851.0,41486.0,,,
05-01-2022,1212.0,4295.0,32393.0,36048.0,,,
06-01-2022,1628.0,4497.0,33119.0,41437.0,,,
07-01-2022,421.0,290.0,1558.0,8039.0,,,
08-01-2022,457.0,366.0,1983.0,9573.0,,,
09-01-2022,136.0,120.0,1476.0,8273.0,,,
10-01-2022,61.0,157.0,1459.0,6888.0,,,
11-01-2022,1811.0,6251.0,18601.0,42424.0,,,
12-01-2022,1904.0,5690.0,21508.0,42993.0,,,
13-01-2022,1960.0,5074.0,17225.0,47010.0,,,
14-01-2022,1883.0,4401.0,18096.0,40712.0,,,
15-01-2022,1443.0,3498.0,9806.0,30302.0,,,
16-01-2022,832.0,2087.0,7963.0,15842.0,,,
17-01-2022,563.0,1584.0,13001.0,28294.0,,,
18-01-2022,1899.0,4804.0,12003.0,27676.0,,,
19-01-2022,1355.0,3175.0,8039.0,26723.0,,,
20-01-2022,1711.0,3140.0,7511.0,24451.0,,,
21-01-2022,1284.0,2642.0,6731.0,22536.0,,,
22-01-2022,1013.0,2336.0,6328.0,19540.0,,,
23-01-2022,720.0,1685.0,6403.0,29120.0,,,
24-01-2022,497.0,1424.0,4875.0,25313.0,,,
25-01-2022,776.0,1713.0,3636.0,13292.0,,,
26-01-2022,927.0,1977.0,4398.0,12558.0,,,
27-01-2022,1019.0,1882.0,3082.0,12896.0,,,
